Node,Port
BITORTR1,GigabitEthernet8/0/3
BITORTR1,GigabitEthernet9/0/1
BITORTR1,GigabitEthernet9/0/4
BITORTR1,GigabitEthernet9/2/2
BUITRAG1,GigabitEthernet1/0/0
BUITRAG1,GigabitEthernet1/0/4
BUITRAG1,GigabitEthernet7/0/0
BUITRAG1,GigabitEthernet7/0/3
BUITRAG1,GigabitEthernet8/0/1
BUITRAG1,GigabitEthernet1/0/1
BUITRAG1,GigabitEthernet1/0/5
BUITRAG1,GigabitEthernet2/0/6
BUITRAG1,GigabitEthernet2/0/8
BUITRAG1,GigabitEthernet2/1/6
BUITRAG1,GigabitEthernet7/0/2
BUITRAG1,GigabitEthernet7/0/4
BUITRAG1,GigabitEthernet8/0/2
BXBORCS1,GigabitEthernet2/1/1
BXBORCS1,GigabitEthernet5/0/10
BXBORCS1,GigabitEthernet5/1/10
BXBORCS1,GigabitEthernet5/1/11
BXBORCS1,GigabitEthernet5/1/7
BXBORCS1,GigabitEthernet5/1/8
BXBORCS1,GigabitEthernet5/1/9
BXBORCS1,GigabitEthernet7/0/0
BXBORCS1,GigabitEthernet1/0/1
BXBORCS1,GigabitEthernet2/1/0
BXBORCS1,GigabitEthernet3/1/1
BXBORCS1,GigabitEthernet5/0/6
BXBORCS1,GigabitEthernet5/0/7
BXBORCS1,GigabitEthernet5/0/8
BXBORCS1,GigabitEthernet5/0/9
BXBORCS2,GigabitEthernet1/0/0
BXBORCS2,GigabitEthernet2/0/1
BXBORCS2,GigabitEthernet2/1/1
BXBORCS2,GigabitEthernet3/1/0
BXBORCS2,GigabitEthernet4/0/1
BXBORCS2,GigabitEthernet5/0/10
BXBORCS2,GigabitEthernet5/1/10
BXBORCS2,GigabitEthernet5/1/11
BXBORCS2,GigabitEthernet5/1/6
BXBORCS2,GigabitEthernet5/1/7
BXBORCS2,GigabitEthernet5/1/8
BXBORCS2,GigabitEthernet5/1/9
BXBORCS2,GigabitEthernet6/0/1
BXBORCS2,GigabitEthernet6/2/2
BXBORCS2,GigabitEthernet6/2/3
BXBORCS2,GigabitEthernet7/0/0
BXBORDN1,GigabitEthernet1/0/0
BXBORDN1,GigabitEthernet1/1/0
BXBORDN1,GigabitEthernet2/0/0
BXBORDN1,GigabitEthernet3/0/0
BXBORDN1,GigabitEthernet3/0/1
BXBORDN1,GigabitEthernet4/0/10
BXBORDN1,GigabitEthernet4/0/11
BXBORDN1,GigabitEthernet4/0/2
BXBORDN1,GigabitEthernet4/0/3
BXBORDN1,GigabitEthernet4/0/4
BXBORDN1,GigabitEthernet4/0/5
BXBORDN1,GigabitEthernet4/0/6
BXBORDN1,GigabitEthernet4/0/7
BXBORDN1,GigabitEthernet5/0/2
BXBORDN1,GigabitEthernet5/0/3
BXBORDN1,GigabitEthernet5/0/4
BXBORDN1,GigabitEthernet7/0/0
BXBORDN1,GigabitEthernet7/0/4
BXBORDN2,GigabitEthernet1/0/0
BXBORDN2,GigabitEthernet2/0/0
BXBORDN2,GigabitEthernet3/0/0
BXBORDN2,GigabitEthernet3/0/1
BXBORDN2,GigabitEthernet4/0/2
BXBORDN2,GigabitEthernet4/0/3
BXBORDN2,GigabitEthernet4/0/6
BXBORDN2,GigabitEthernet4/0/7
BXBORDN2,GigabitEthernet7/0/4
BXDRRDN1,GigabitEthernet1/0/0
BXDRRDN1,GigabitEthernet1/0/1
BXDRRDN1,GigabitEthernet1/0/2
BXDRRDN1,GigabitEthernet2/0/2
BXDRRDN1,GigabitEthernet8/0/0
BXDRRDN1,GigabitEthernet8/0/1
BXDRRDN1,GigabitEthernet8/0/4
BXDRRDN2,GigabitEthernet1/0/0
BXDRRDN2,GigabitEthernet2/0/2
BXDRRDN2,GigabitEthernet8/0/0
BXEURDN1,GigabitEthernet2/0/0
BXEURDN1,GigabitEthernet3/0/4
BXEURDN1,GigabitEthernet3/0/5
BXEURDN1,GigabitEthernet7/0/2
BXEURDN1,GigabitEthernet7/0/3
BXEURDN1,GigabitEthernet7/0/4
BXEURDN1,GigabitEthernet5/0/4
BXEURDN1,GigabitEthernet1/0/0
BXEURDN1,GigabitEthernet3/0/1
BXEURDN1,GigabitEthernet3/0/2
BXEURDN1,GigabitEthernet3/0/3
BXEURDN1,GigabitEthernet3/0/6
BXEURDN1,GigabitEthernet3/0/7
BXEURDN1,GigabitEthernet4/1/1
BXEURDN1,GigabitEthernet5/0/1
BXEURDN1,GigabitEthernet5/0/2
BXEURDN1,GigabitEthernet5/0/3
BXEURDN1,GigabitEthernet5/1/0
BXEURDN1,GigabitEthernet5/1/1
BXEURDN1,GigabitEthernet5/1/2
BXEURDN1,GigabitEthernet6/0/0
BXEURDN1,GigabitEthernet6/0/3
BXEURDN1,GigabitEthernet7/0/0
BXEURDN1,GigabitEthernet7/2/0
BXEURDN1,GigabitEthernet7/2/3
BXEURDN1,GigabitEthernet7/2/4
BXEURDN2,GigabitEthernet1/0/0
BXEURDN2,GigabitEthernet3/0/1
BXEURDN2,GigabitEthernet3/0/2
BXEURDN2,GigabitEthernet3/0/3
BXEURDN2,GigabitEthernet3/0/6
BXEURDN2,GigabitEthernet3/0/7
BXEURDN2,GigabitEthernet4/1/1
BXEURDN2,GigabitEthernet5/0/1
BXEURDN2,GigabitEthernet5/0/2
BXEURDN2,GigabitEthernet5/0/3
BXEURDN2,GigabitEthernet5/1/0
BXEURDN2,GigabitEthernet5/1/1
BXEURDN2,GigabitEthernet5/1/2
BXEURDN2,GigabitEthernet6/0/0
BXEURDN2,GigabitEthernet6/0/3
BXEURDN2,GigabitEthernet7/0/0
BXEURDN2,GigabitEthernet7/2/0
BXEURDN2,GigabitEthernet7/2/3
BXEURDN2,GigabitEthernet7/2/4
BXEURPI3,100GE1/0/2
BXEURPI3,100GE1/0/3
BXEURPI3,100GE1/0/5
BXEURPI3,100GE15/0/0
BXEURPI3,100GE15/0/1
BXEURPI3,100GE15/0/2
BXEURPI3,100GE15/0/5
BXEURPI3,100GE3/0/1
BXEURPI3,100GE3/0/2
BXEURPI3,100GE3/0/3
BXEURPI3,100GE3/0/4
BXEURPI3,100GE3/0/5
BXEURPI3,100GE3/0/6
BXEURPI3,100GE3/0/7
BXEURPI3,100GE4/0/0
BXEURPI3,100GE4/0/1
BXEURPI3,100GE5/0/0
BXEURPI3,100GE5/0/2
BXEURPI3,100GE5/0/6
BXEURPI3,100GE5/0/7
BXEURPI3,GigabitEthernet2/0/11
BXEURPI3,GigabitEthernet2/0/12
BXEURPI3,GigabitEthernet2/0/16
BXEURPI3,GigabitEthernet2/0/17
BXEURPI3,GigabitEthernet2/0/18
BXEURPI3,GigabitEthernet2/0/19
BXEURPI3,GigabitEthernet2/0/3
BXEURPI3,GigabitEthernet2/0/6
BXEURPI3,GigabitEthernet2/0/8
BXEURPI3,GigabitEthernet2/1/1
BXEURPI3,GigabitEthernet2/1/14
BXEURPI3,GigabitEthernet2/1/17
BXEURPI3,GigabitEthernet2/1/18
BXEURPI3,GigabitEthernet2/1/2
BXEURPI3,GigabitEthernet2/1/5
BXEURPI3,GigabitEthernet7/0/0
BXEURPI3,GigabitEthernet7/0/10
BXEURPI3,GigabitEthernet7/0/11
BXEURPI3,GigabitEthernet7/0/12
BXEURPI3,GigabitEthernet7/0/3
BXEURPI3,GigabitEthernet7/0/7
BXEURPI3,GigabitEthernet7/0/9
BXEURPI3,GigabitEthernet7/1/0
BXEURPI3,GigabitEthernet7/1/1
BXEURPI3,GigabitEthernet7/1/19
BXEURPI3,GigabitEthernet7/1/2
BXEURRR1,GigabitEthernet1/0/0
BXEURRR1,GigabitEthernet1/0/1
BXEURTR3,GigabitEthernet14/1/9
BXEURTR3,GigabitEthernet15/1/1
BXEURTR3,GigabitEthernet2/0/0
BXEURTR3,100GE1/0/0
BXEURTR3,100GE1/0/2
BXEURTR3,100GE1/0/3
BXEURTR3,100GE1/0/4
BXEURTR3,100GE10/0/2
BXEURTR3,100GE10/0/6
BXEURTR3,100GE10/0/7
BXEURTR3,100GE6/0/0
BXEURTR3,100GE6/0/4
BXEURTR3,100GE6/0/7
BXEURTR3,100GE8/0/0
BXEURTR3,100GE8/0/2
BXEURTR3,100GE8/0/4
BXEURTR3,GigabitEthernet14/0/0
BXEURTR3,GigabitEthernet14/0/1
BXEURTR3,GigabitEthernet14/0/11
BXEURTR3,GigabitEthernet14/0/14
BXEURTR3,GigabitEthernet14/0/22
BXEURTR3,GigabitEthernet14/0/5
BXEURTR3,GigabitEthernet14/0/7
BXEURTR3,GigabitEthernet14/0/8
BXEURTR3,GigabitEthernet14/1/13
BXEURTR3,GigabitEthernet14/1/14
BXEURTR3,GigabitEthernet14/1/15
BXEURTR3,GigabitEthernet14/1/2
BXEURTR3,GigabitEthernet14/1/5
BXEURTR3,GigabitEthernet14/1/6
BXEURTR3,GigabitEthernet16/0/1
BXEURTR3,GigabitEthernet16/0/11
BXEURTR3,GigabitEthernet16/0/15
BXEURTR3,GigabitEthernet16/0/21
BXEURTR3,GigabitEthernet16/0/3
BXEURTR3,GigabitEthernet16/0/6
BXEURTR3,GigabitEthernet16/0/7
BXEURTR3,GigabitEthernet16/0/9
BXEURTR3,GigabitEthernet16/1/10
BXEURTR3,GigabitEthernet16/1/2
BXEURTR3,GigabitEthernet16/1/5
BXEURTR3,GigabitEthernet2/0/12
BXEURTR3,GigabitEthernet2/0/13
BXEURTR3,GigabitEthernet2/0/16
BXEURTR3,GigabitEthernet2/0/22
BXEURTR3,GigabitEthernet2/0/6
BXEURTR3,GigabitEthernet2/0/8
BXEURTR3,GigabitEthernet2/1/12
BXEURTR3,GigabitEthernet2/1/20
BXEURTR3,GigabitEthernet2/1/21
BXEURTR3,GigabitEthernet2/1/22
BXEURTR3,GigabitEthernet2/1/6
BXEURTR3,GigabitEthernet2/1/7
BXEURTR3,GigabitEthernet7/0/1
BXEURTR3,GigabitEthernet7/0/11
BXEURTR3,GigabitEthernet7/0/13
BXEURTR3,GigabitEthernet7/0/16
BXEURTR3,GigabitEthernet7/0/21
BXEURTR3,GigabitEthernet7/0/7
BXEURTR3,GigabitEthernet7/1/20
BXEURTR3,GigabitEthernet7/1/21
